Vate  Of Report ,U-I/  Years  10-4) Years  5U-5%7 Years  40-49  Years  3U-59  Years  OU-O6%Years /U+  Years  All  Ages,,,,,,,
2020-10-08,0.13,0.38,0.56,0.84,1.44,2.16,4.26,1.29
2020-10-09,0.13,0.39,0.57,0.88,1.47,2.25,4.4,1.33
2020-10-10,0.13,0.4,0.57,0.91,1.48,2.33,4.51,1.35
2020-10-11,0.13,0.41,0.58,0.93,1.52,2.39,4.68,1.39
2020-10-12,0.13,0.42,0.59,0.95,1.53,2.42,4.77,1.39
2020-10-13,0.13,0.42,0.61,0.98,1.53,2.42,4.91,1.39
2020-10-14,0.13,0.43,0.63,1,1.57,2.48,5,1.41
2020-10-15,0.13,0.44,0.66,1.03,1.6,2.52,5.08,1.43
2020-10-16,0.14,0.45,0.67,1.03,1.63,2.56,5.2,1.47
2020-10-17,0.14,0.45,0.68,1.03,1.64,2.6,5.3,1.5
2020-10-18,0.13,0.46,0.7,1.06,1.68,2.66,5.39,1.53
2020-10-19,0.13,0.46,0.7,1.08,1.71,2.71,5.44,1.55
2020-10-20,0.13,0.46,0.7,1.11,1.77,2.8,5.59,1.59
2020-10-21,0.13,0.47,0.71,1.15,1.82,2.86,5.7,1.62
2020-10-22,0.13,0.48,0.72,1.18,1.85,2.94,5.86,1.66
2020-10-23,0.12,0.48,0.73,1.22,1.89,3,6.01,1.68
2020-10-24,0.12,0.48,0.77,1.25,1.98,3.05,6.14,1.71
2020-10-25,0.12,0.48,0.79,1.26,2,3.09,6.24,1.72
2020-10-26,0.12,0.48,0.8,1.27,2.03,3.12,6.37,1.74
