Date  of  Report ,0-17 ,18-29 ,30-39 ,Years ,50-59 ,60-69 ,70+  Years ,All Ages
2021-01-28,0.28,0.93,1.53,2.42,4.11,6.57,14.02,3.72
2021-01-29,0.28,0.91,1.51,2.35,3.95,6.34,13.49,3.59
2021-01-30,0.28,0.89,1.48,2.29,3.84,6.17,13.12,3.5
2021-01-31,0.28,0.88,1.44,2.24,3.77,6.07,12.78,3.42
2021-02-01,0.27,0.87,1.43,2.2,3.72,5.98,12.53,3.36
2021-02-02,0.27,0.84,1.39,2.15,3.61,5.74,12.06,3.25
2021-02-03,0.26,0.82,1.36,2.11,3.54,5.64,11.75,3.17
2021-02-04,0.25,0.8,1.34,2.08,3.49,5.56,11.45,3.1
2021-02-05,0.25,0.81,1.3,2.04,3.43,5.48,11.3,3.05
2021-02-06,0.26,0.81,1.28,2.01,3.38,5.37,11.03,3
2021-02-07,0.26,0.8,1.26,1.95,3.32,5.23,10.81,2.94
2021-02-08,0.26,0.78,1.23,1.93,3.26,5.11,10.52,2.87
2021-02-09,0.27,0.78,1.21,1.9,3.2,5.01,10.25,2.8
2021-02-10,0.26,0.77,1.18,1.86,3.11,4.85,9.94,2.72
2021-02-11,0.25,0.76,1.14,1.8,3.02,4.64,9.58,2.62
2021-02-12,0.25,0.73,1.12,1.76,2.94,4.47,9.18,2.53
2021-02-13,0.24,0.71,1.1,1.71,2.84,4.32,8.8,2.44
2021-02-14,0.23,0.7,1.08,1.68,2.74,4.18,8.46,2.35
2021-02-15,0.22,0.69,1.06,1.61,2.65,4.06,8.16,2.27
